series_title;my_finish_date;my_score;my_status;my_watched_episodes;my_start_date;series_episodes;series_type;series_animedb_id
JoJo no Kimyou na Bouken (TV);2020-02-26;7;Completed;26;2020-02-16;26;TV;14719
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders;2020-04-03;7;Completed;24;2020-02-27;24;TV;20899
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen;2020-04-17;8;Completed;24;2020-04-06;24;TV;26055
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai;2020-04-25;8;Completed;39;2020-04-18;39;TV;31933
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze;2020-05-21;7;Completed;39;2020-04-26;39;TV;37991
JoJo no Kimyou na Bouken Part 6: Stone Ocean;0000-00-00;0;Plan to Watch;0;0000-00-00;12;ONA;48661
Jujutsu Kaisen;2021-03-28;8;Completed;24;2020-10-05;24;TV;40748
Jujutsu Kaisen 0 Movie;2024-10-20;9;Completed;1;2024-10-20;1;Movie;48561
Jujutsu Kaisen 2nd Season;2024-11-13;9;Completed;23;2024-11-07;23;TV;51009
K-On!;2020-06-02;8;Completed;13;2020-06-01;13;TV;5680
K-On! Movie;2020-06-11;8;Completed;1;2020-06-11;1;Movie;9617
K-On!!;2020-06-11;9;Completed;26;2020-06-03;26;TV;7791
K-On!!: Keikaku!;2020-06-11;7;Completed;1;2020-06-11;1;Special;9734
K-On!!: Ura-On!!;2020-06-12;6;Completed;9;2020-06-12;9;Special;9203
K-On!: Live House!;2020-06-11;8;Completed;1;2020-06-11;1;Special;6862
K-On!: Ura-On!;2020-06-11;6;Completed;7;2020-06-11;7;Special;7017
Kaguya-hime no Monogatari;2024-11-15;8;Completed;1;2024-11-15;1;Movie;16664
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen;2019-09-24;8;Completed;12;2019-09-23;12;TV;37999
Kaguya-sama wa Kokurasetai: Ultra Romantic;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;43608
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen;2020-06-29;8;Completed;12;2020-04-11;12;TV;40591
Kaijuu 8-gou;2024-06-30;8;Completed;12;2024-05-27;12;TV;52588
Kaijuu no Kodomo;0000-00-00;0;Plan to Watch;0;0000-00-00;1;Movie;37981
Kami no Tou;2020-06-24;7;Completed;13;2020-04-01;13;TV;40221
Kami no Tou: Ouji no Kikan;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;52635
Kanata no Astra;2019-09-19;9;Completed;12;2019-07-08;12;TV;39198
Kanojo, Okarishimasu;2020-09-25;6;Completed;12;2020-07-18;12;TV;40839
Kanojo, Okarishimasu 2nd Season;2024-11-15;6;Completed;12;2022-08-21;12;TV;42963
Kanojo, Okarishimasu 3rd Season;2024-11-18;7;Completed;12;2024-11-16;12;TV;53050
Katsute Kami Datta Kemono-tachi e;2019-09-16;6;Completed;12;2019-07-02;12;TV;39199
Kaze Tachinu;2024-11-19;8;Completed;1;2024-11-19;1;Movie;16662
Kemono Jihen;2022-04-25;6;Completed;12;2021-01-16;12;TV;40908
Kill la Kill;2020-08-05;9;Completed;24;2020-08-02;24;TV;18679
Kill la Kill Specials;2020-08-05;8;Completed;2;2020-08-05;2;Special;21659
Kimi no Na wa.;2018-11-17;7;Completed;1;2018-11-17;1;Movie;32281
Kizumonogatari I: Tekketsu-hen;2020-08-18;8;Completed;1;2020-08-18;1;Movie;9260
Kizumonogatari II: Nekketsu-hen;2020-08-19;9;Completed;1;2020-08-19;1;Movie;31757
Kizumonogatari III: Reiketsu-hen;2020-08-19;9;Completed;1;2020-08-19;1;Movie;31758
Kobayashi-san Chi no Maid Dragon;2020-01-01;7;Completed;13;2019-12-30;13;TV;33206
Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai;2020-01-01;7;Completed;1;2020-01-01;1;Special;35363
Kono Subarashii Sekai ni Shukufuku wo!;2019-05-20;8;Completed;10;2019-05-18;10;TV;30831
Kono Subarashii Sekai ni Shukufuku wo! 2;2019-05-21;8;Completed;10;2019-05-20;10;TV;32937
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!;2019-05-21;7;Completed;1;2019-05-21;1;OVA;34626
Kono Subarashii Sekai ni Shukufuku wo! 3;0000-00-00;0;Plan to Watch;0;0000-00-00;11;TV;49458
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu;2020-05-23;8;Completed;1;2020-05-23;1;Movie;38040
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!;2019-05-21;7;Completed;1;2019-05-21;1;OVA;32380
Koukaku Kidoutai: Stand Alone Complex;0000-00-00;0;Plan to Watch;0;0000-00-00;26;TV;467
Koyomimonogatari;2020-10-19;7;Completed;12;2020-10-14;12;ONA;32268
Kumo desu ga, Nani ka?;2022-01-27;7;Completed;24;2021-01-16;24;TV;37984
Kuroshitsuji;2019-01-07;8;Completed;24;2018-12-30;24;TV;4898
Kuroshitsuji II;2019-07-17;7;Completed;12;2019-07-01;12;TV;6707
Kuroshitsuji: Book of Circus;0000-00-00;0;On-Hold;3;2021-01-30;10;TV;22145
Kuroshitsuji: Sono Shitsuji, Kougyou;2019-07-17;6;Completed;1;2019-07-17;1;Special;6793
Kyokou Suiri;2020-03-31;7;Completed;12;2020-01-11;12;TV;39017
Little Witch Academia;2024-06-18;8;Completed;1;2024-06-18;1;Movie;14349
Little Witch Academia (TV);0000-00-00;0;Plan to Watch;0;0000-00-00;25;TV;33489
Little Witch Academia: Mahoujikake no Parade;2024-06-19;8;Completed;1;2024-06-19;1;Movie;19489
Look Back;0000-00-00;0;Plan to Watch;0;0000-00-00;1;Movie;58125
Lucky☆Star;0000-00-00;0;Plan to Watch;0;0000-00-00;24;TV;1887
Made in Abyss;2020-12-02;9;Completed;13;2020-12-01;13;TV;34599
Made in Abyss Movie 3: Fukaki Tamashii no Reimei;2020-12-03;9;Completed;1;2020-12-03;1;Movie;36862
Made in Abyss: Retsujitsu no Ougonkyou;2022-11-21;9;Completed;12;2022-07-17;12;TV;41084
